id,language,tokenizer,model_id,word_count,subword_count,seq_length,fragmentation_ratio,unk_rate,trunc_64,trunc_128,trunc_256,trunc_512
3197,english,xlm_roberta,xlm-roberta-base,23,36,38,1.5652,0.0,0,0,0,0
2633,english,xlm_roberta,xlm-roberta-base,27,30,32,1.1111,0.0,0,0,0,0
5313,english,xlm_roberta,xlm-roberta-base,3,3,5,1.0,0.0,0,0,0,0
6823,english,xlm_roberta,xlm-roberta-base,34,41,43,1.2059,0.0,0,0,0,0
8109,english,xlm_roberta,xlm-roberta-base,6,7,9,1.1667,0.0,0,0,0,0
3038,english,xlm_roberta,xlm-roberta-base,10,11,13,1.1,0.0,0,0,0,0
7359,english,xlm_roberta,xlm-roberta-base,13,16,18,1.2308,0.0,0,0,0,0
9131,english,xlm_roberta,xlm-roberta-base,9,11,13,1.2222,0.0,0,0,0,0
9,english,xlm_roberta,xlm-roberta-base,9,12,14,1.3333,0.0,0,0,0,0
1766,english,xlm_roberta,xlm-roberta-base,6,8,10,1.3333,0.0,0,0,0,0
2045,english,xlm_roberta,xlm-roberta-base,13,17,19,1.3077,0.0,0,0,0,0
4879,english,xlm_roberta,xlm-roberta-base,6,12,14,2.0,0.0,0,0,0,0
4094,english,xlm_roberta,xlm-roberta-base,8,8,10,1.0,0.0,0,0,0,0
4786,english,xlm_roberta,xlm-roberta-base,13,17,19,1.3077,0.0,0,0,0,0
3149,english,xlm_roberta,xlm-roberta-base,8,9,11,1.125,0.0,0,0,0,0
3550,english,xlm_roberta,xlm-roberta-base,11,12,14,1.0909,0.0,0,0,0,0
2010,english,xlm_roberta,xlm-roberta-base,6,7,9,1.1667,0.0,0,0,0,0
6663,english,xlm_roberta,xlm-roberta-base,14,16,18,1.1429,0.0,0,0,0,0
7406,english,xlm_roberta,xlm-roberta-base,10,14,16,1.4,0.0,0,0,0,0
4950,english,xlm_roberta,xlm-roberta-base,7,10,12,1.4286,0.0,0,0,0,0
4393,english,xlm_roberta,xlm-roberta-base,10,13,15,1.3,0.0,0,0,0,0
1180,english,xlm_roberta,xlm-roberta-base,6,10,12,1.6667,0.0,0,0,0,0
7101,english,xlm_roberta,xlm-roberta-base,7,11,13,1.5714,0.0,0,0,0,0
5291,english,xlm_roberta,xlm-roberta-base,10,11,13,1.1,0.0,0,0,0,0
